Name,Genre,Developer,dev_link,rating,total,five,four,three,two,one
Barecode Super Phone - FREE,Video Players & Editors,HortonDEV,https://play.google.com/store/apps/developer?id=HortonDEV,4.2,199,30,4,11,7,147
Plippa games for girls,Casual,plippa,https://play.google.com/store/apps/developer?id=plippa,4.4,418,29,7,40,36,306
True Call Mobile Locator & Caller ID Blocker,Communication,Randy Apps,https://play.google.com/store/apps/developer?id=Randy+Apps,3.8,87,20,3,5,4,55
Ramadan Video Status,Entertainment,Cell Germny,https://play.google.com/store/apps/developer?id=Cell+Germny,3.8,142,31,6,12,11,82
Video Editor Of Photos With Song & Video Maker,Photography,creative video editor photo slideshow maker Inc.,https://play.google.com/store/apps/developer?id=creative+video+editor+photo+slideshow+maker+Inc.,4.6,740,16,3,34,132,555
Star Sports- Live Cricket Channel List (guide),Sports,Tech Wolf,https://play.google.com/store/apps/developer?id=Tech+Wolf,4.1,72,12,1,6,3,50
Cursed Castle Save the Princess,Casual,bmapps,https://play.google.com/store/apps/developer?id=bmapps,4.4,108,12,1,7,4,84
Ludo Players - Dice Board Game,Board,Topcha Apps,https://play.google.com/store/apps/developer?id=Topcha+Apps,4.3,33,2,1,3,5,22
Love Photo Frames - Love Locket Photo Editor,Photography,Pic Frame Photo Collage Maker & Picture Editor,https://play.google.com/store/apps/developer?id=Pic+Frame+Photo+Collage+Maker+%26+Picture+Editor,4.5,47,2,1,3,7,34
How to Forward Someone Call to Our Phone?,Productivity,Smile HD Studio,https://play.google.com/store/apps/developer?id=Smile+HD+Studio,3.8,13,3,0,1,1,8
Bottle Target Shoot,Adventure,Door to apps,https://play.google.com/store/apps/dev?id=4716605590557508920,4.3,126,13,2,10,7,94
Auto Liker,Social,Dreamz Tech,https://play.google.com/store/apps/developer?id=Dreamz+Tech,4.1,229,32,10,14,20,153
"Recover Deleted All Files, Photos, Videos,Contacts",Tools,Hello App Studio,https://play.google.com/store/apps/developer?id=Hello+App+Studio,4.1,44,6,0,7,3,28
Candy Break Bomb,Casual,Gamoper,https://play.google.com/store/apps/developer?id=Gamoper,4.6,435,8,5,22,71,329
"Mobile Tv - Live Cricket & Movies,Ditto Tv Plus",Entertainment,Qwerty Media Pvt Ltd,https://play.google.com/store/apps/developer?id=Qwerty+Media+Pvt+Ltd,3.6,934,164,69,142,168,391
Dinosaur Era : Survival Game,Simulation,MTS Free Games,https://play.google.com/store/apps/developer?id=MTS+Free+Games,4.2,21,2,0,2,4,13
Music Equalizer & Sound Bass Booster,Music & Audio,DotDotDog,https://play.google.com/store/apps/developer?id=DotDotDog,4.8,522,4,3,8,68,439
Corp EASE,Finance,Corporation Bank -(HO-ITD),https://play.google.com/store/apps/developer?id=Corporation+Bank+-%28HO-ITD%29,3.1,1807,713,73,89,139,793
Jewels Quest 2 - Glowing Match 3,Puzzle,Teskin Games,https://play.google.com/store/apps/developer?id=Teskin+Games,4.6,27,0,1,3,2,21
Rake Monster Hunter,Simulation,OneTonGames,https://play.google.com/store/apps/dev?id=9176665870943617333,4.4,4191,254,71,285,519,3062
"HD Camera - selfie camera, beauty cam, photo edit",Photography,iJoysoft,https://play.google.com/store/apps/developer?id=iJoysoft,4.6,444,11,3,30,64,336
World Football Champion,Sports,"Color Mobile, Inc.","https://play.google.com/store/apps/developer?id=Color+Mobile,+Inc.",4.6,1534,96,26,78,62,1272
Drop The Ball,Arcade,VOODOO,https://play.google.com/store/apps/developer?id=VOODOO,3.9,267,53,11,13,29,161
Trick Tekken 3,Action,Endich,https://play.google.com/store/apps/developer?id=Endich,4.6,17,1,0,1,1,14
Super Car Racing 3D,Racing,BIG HUNTER,https://play.google.com/store/apps/developer?id=BIG+HUNTER,4.5,399,23,7,21,29,319
Caller ID - Number Tracker & Call Blocker,Communication,Rockin Apps,https://play.google.com/store/apps/developer?id=Rockin+Apps,3.9,101,20,3,6,7,65
